ID,project_dir,class_name,method_name
1,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,DataClayJavaMapTest,serializeAndDeserialize
2,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,DataClayJavaMapTest,testIntMap
3,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,beforeAll
4,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,before
5,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,setAssocClassID
6,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,after
7,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,afterAll
8,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,ClassManagerClassTest
9,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,generates
10,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,generatesPrune
11,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,generatePropertys
12,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,generatesWithOperations
13,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,generatesWithOperationsPrune
14,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,generateOperations
15,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,getPrimitiveType
16,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,verifyProperty
17,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,verifyOperation
18,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,verifyMetaClass
19,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,setIDs
20,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testNewClass
21,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testcheckNamespaceHasNothing
22,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testCheckNamespaceHasNoClassesNotExists
23,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testRemoveClass
24,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testGetMetaClassID
25,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testGetOperationsAndPropertiesNotInNamespaceOfClass
26,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testGetOperationsAndPropertiesNotInNamespaceOfClassPropertyNotInClass
27,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ClassManagerClassTest,testGetOperationsAndPropertiesNotInNamespaceOfClassOperationNotInClass
28,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,EventTypeOuter_ESTest_A053_MECATIoeQyqmwcKisKGDg_EOTest,test1
29,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,EventTypeOuter_ESTest_A053_KBMdY11wR2e3qI5X6bBPHg_EOTest,test1
30,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,IDTest,initBuffer
31,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,IDTest,finiBuffer
32,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,IDTest,testSimpleIDSerialization
33,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,PropertyIDTest,initBuffer
34,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,PropertyIDTest,finiBuffer
35,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,PropertyIDTest,testSimplePropertyIDSerialization
36,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,PropertyIDTest,testPropertyIDSerialization
37,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,PropertyIDTest,testPropertyIDDoubleSerialization
38,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,LruCacheTest,lruCacheTest
39,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,EventTypeOuter_ESTest_A053_e38fafe58345_EOTest,test1
40,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,EventTypeOuter_ESTest_A053_QvriuVJQQWvHnjlp6nuw_EOTest,test1
41,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,EventTypeOuter_ESTest_A053_DGFzMKfyTIuRBZ5y3WEuPg_EOTest,test1
42,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,EventTypeOuter_ESTest_A053_20sXDhDXSGmenD8QDD0LWg_EOTest,test1
43,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,beforeAll
44,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,before
45,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,after
46,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,afterAll
47,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testNewPrivateContract
48,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testNewPublicContract
49,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testRegisterToPublicActiveContract
50,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckNamespaceHasNoContracts
51,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckInterfaceHasNoContracts
52,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckImplementationHasNoContracts
53,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckInterfacesInActiveContractsForAccount
54,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckInterfacesInActiveContractsForNotValidAccount
55,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckInterfacesInNonActiveContractsForAccount
56,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testCheckNotValidInterfacesInActiveContractsForAccount
57,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetContractIDsOfProvider
58,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetContractIDsOfApplicant
59,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetContractIDsOfApplicantWithProvider
60,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetContract
61,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetInfoOfActiveContractForAccount
62,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetInfoOfInerfacesInActiveContractsForAccount
63,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetInfoOfMultipleInterfacesPerActiveContractsForAccount
64,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testGetInfoOfMultipleContractsPerActiveContractsForAccount
65,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testContractNotExist
66,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testAccountAlreadyRegisteredInContract
67,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testAccountNotRegistered
68,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testContractNotActive
69,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testContractNotPublic
70,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,ContractManagerTest,testInterfaceNotInContract
71,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,SessionManagerTest,beforeAll
72,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,SessionManagerTest,before
73,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,SessionManagerTest,after
74,/home/shaker/Desktop/mutants_io/mutated_projects/A_bsc-dom-javaclay.EventTypeOuter/buggy,SessionManagerTest,afterAll
