focal_method,test_prefix,docstring
"static String leftPadding(String in, int count, char pad) {
        if (in.length() >= count)
            return in;

        StringBuilder sb = new StringBuilder();
        for (int i = 0; i < count - in.length(); i++) {
            sb.append(pad);
        }

        for (char c : in.toCharArray()) {
            sb.append(c);
        }

        return sb.toString();
    }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      String string0 = Utilities.leftPadding(""cgD=LaK?RKcFsknRE."", 116, 'N');
      assertEquals(""cgD=LaK?RKcFsknRE."", string0);
  }","Applies a left padding to the provided string. If the string is already count in length, no change will be made. Otherwise, the pad character will be prepended until count length is satisfied.@param in String to left pad @param count Minimum string length to achieve @param pad Character to pad with @return String"
,"@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      WorkUnitEvent.Type workUnitEvent_Type0 = WorkUnitEvent.Type.STATUS_CHANGED;
      DefaultWorkUnit defaultWorkUnit0 = new DefaultWorkUnit((-3079), (-3079));
      WorkUnitEvent workUnitEvent0 = null;
      try {
        workUnitEvent0 = new WorkUnitEvent((-3079), workUnitEvent_Type0, defaultWorkUnit0);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // com/google/common/base/Optional
         //
         verifyException(""me.marcosassuncao.servsim.job.WorkUnitEvent"", e);
      }
  }",
"public static StringBuffer readContent( File file, Map<String[], String> replaceMap )
        throws IOException
    {
        StringBuffer content = new StringBuffer();

        BufferedReader reader = new BufferedReader( new InputStreamReader( new FileInputStream( file ), ENCODING_UTF8 ) );

        String line = null;

        String currentEndString = null;

        try
        {
            while ( (line = reader.readLine()) != null )
            {
                if ( currentEndString != null )
                {
                    if ( line.contains( currentEndString ) )
                    {
                        currentEndString = null;
                    }

                    continue;
                }

                if ( replaceMap != null )
                {
                    for ( Entry<String[], String> entry : replaceMap.entrySet() )
                    {
                        if ( line.contains( entry.getKey()[0] ) )
                        {
                            currentEndString = (entry.getKey()[1] != null && !line.contains( entry.getKey()[1] )) ? entry.getKey()[1] : null;

                            line = entry.getValue();

                            break;
                        }
                    }
                }

                content.append( line + LINE_BREAK );
            }
        }
        finally
        {
            try
            {
                reader.close();
            }
            catch ( Exception ex )
            {
            }
        }

        return content;
    }","@Test(timeout = 4000)
  public void test07()  throws Throwable  {
      File file0 = MockFile.createTempFile(""X*?~5S^#Q`CK&"", ""zAO1FV"");
      HashMap<String[], String> hashMap0 = new HashMap<String[], String>();
      EvoSuiteFile evoSuiteFile0 = new EvoSuiteFile(""/tmp/X*?~5S^#Q`CK&0zAO1FV"");
      FileSystemHandling.appendLineToFile(evoSuiteFile0, ""zAO1FV"");
      MockFileOutputStream mockFileOutputStream0 = new MockFileOutputStream(""X*?~5S^#Q`CK&"");
      StringBuffer stringBuffer0 = StreamUtils.readContent(file0, hashMap0);
      assertEquals("""", stringBuffer0.toString());
  }","Reads the content of the file to a StringBuffer. Each line is compared to the keys of the argument map. If a line is matched, the line is replaced with the keys corresponding value. Passing null as replace map argument skips value replacement. The reading will stop at the first match for a single line.@param file the file to read from. @param replaceMap a map containing keys to be matched and values with replacements. @return a StringBuffer with the content of the file replaced according to the Map. @throws IOException if operation failed."
"public static File getFile(URL resourceUrl) throws FileNotFoundException {
        return getFile(resourceUrl, ""URL"");
    }","@Test(timeout = 4000)
  public void test2()  throws Throwable  {
      URL uRL0 = MockURL.getFileExample();
      try { 
        ResourceUtil.getFile(uRL0);
        fail(""Expecting exception: FileNotFoundException"");
      
      } catch(FileNotFoundException e) {
         //
         // URL cannot be resolved to absolute file path because it does not reside in the file system: file://some/fake/but/wellformed/url
         //
         verifyException(""com.alipay.sofa.common.utils.ResourceUtil"", e);
      }
  }","Resolve the given resource URL to a {@code java.io.File}, i.e. to a file in the file system. @param resourceUrl the resource URL to resolve @return a corresponding File object @throws FileNotFoundException if the URL cannot be resolved to a file in the file system"
"public double distanceSquared(Vector3d v) {
        double dx = x - v.x;
        double dy = y - v.y;
        double dz = z - v.z;

        return dx * dx + dy * dy + dz * dz;
    }","@Test(timeout = 4000)
  public void test19()  throws Throwable  {
      Vector3d vector3d0 = new Vector3d(0.0, 0.0, 0.0);
      double double0 = vector3d0.distanceSquared(vector3d0);
      assertEquals(0.0, vector3d0.x, 0.01);
  }",Returns the squared of the Euclidean distance between this vector and vector v. @return squared distance between this vector and v
"public static OS getOS() {
        String osname = SystemUtil.OS_NAME;
        String osarch = SystemUtil.OS_ARCH;

        if (osname.indexOf(""Mac"") != -1) {
            if (osarch.equals(""x86"")) return OS.MAC;
            else if (osarch.equals(""x86_64"")) return OS.MAC_64;
        } else if (osname.indexOf(""Windows"") != -1) {
            if (osarch.equals(""x86"")) return OS.WIN;
            else if (osarch.equals(""x86_64"")||osarch.equals(""amd64"")) return OS.WIN_64;
        } else if (osname.indexOf(""Linux"") != -1) {
            if (osarch.equals(""i386"")) return OS.LINUX;
            else if (osarch.equals(""amd64"")) return OS.LINUX_64;
        }

        return OS.OTHER;
    }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      SystemUtil systemUtil0 = new SystemUtil();
      assertEquals(OS.WIN_64, systemUtil0.getOS());
  }",Get information of OS environment. Detects OS name (e.g. Mac OS X) and architecture (e.g. x86_64).@return OSEnv enum object.
"public boolean addTimeSlot(long startTime, long finishTime, RangeList list) {		
		if(finishTime <= startTime) {
			return false;
		}
		Iterator<SingleProfileEntry> it = avail.itValuesFromPrec(startTime);
        SingleProfileEntry last = it.next();
        SingleProfileEntry newAnchor = null;

        if (last.getTime() < startTime) {
        	newAnchor = last.clone(startTime);
        	last = newAnchor;
        }

        SingleProfileEntry nextEntry = null;
        while(it.hasNext()) {
       		nextEntry = it.next();
       		if(nextEntry.getTime() > finishTime) {
       			break;
       		}
       			
       		// Remove duplicate entries. That is, entries whose PE ranges 
       		// are the same. This minimises the number of entries required
       		if(nextEntry.getTime() < finishTime && 
       				last.getAvailRanges().equals(nextEntry.getAvailRanges())) {
       			it.remove();
       		}
       		else {
	       		last.getAvailRanges().addAll(list.clone());
	       		last = nextEntry;
       		}
        }

        if (last.getTime() < finishTime) {
        	add(last.clone(finishTime));
        	last.getAvailRanges().addAll(list.clone());
        }
        
        if(newAnchor != null) {
        	add(newAnchor);
        }
        
        return true;
	}","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      SingleProfile singleProfile0 = new SingleProfile((-3019));
      LinkedTreeMap<Long, SingleProfileEntry> linkedTreeMap0 = singleProfile0.avail;
      Long long0 = new Long(536L);
      SingleProfileEntry singleProfileEntry0 = linkedTreeMap0.getPrecValue(long0, true);
      Long long1 = new Long((-1168L));
      linkedTreeMap0.put(long1, singleProfileEntry0);
      // Undeclared exception!
      try { 
        singleProfile0.addTimeSlot((-876L), (-197L), (RangeList) null);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""me.marcosassuncao.servsim.profile.SingleProfile"", e);
      }
  }",Includes a time slot in this availability profile. This is useful if your scheduling strategy cancels a job and you want to update the availability profile. @param startTime the start time of the time slot. @param finishTime the finish time of the time slot. @param list the list of ranges of resources in the slot. @return <tt>true<tt> if the slot was included; <tt>false<tt> otherwise.
,"@Test(timeout = 4000)
  public void test6()  throws Throwable  {
      char[] charArray0 = new char[0];
      CharBuffer charBuffer0 = CharBuffer.wrap(charArray0);
      LinkedList<CMARichMark> linkedList0 = new LinkedList<CMARichMark>();
      CMARichText cMARichText0 = new CMARichText(charBuffer0, linkedList0);
      CharSequence charSequence0 = cMARichText0.getValue();
      assertNull(charSequence0);
  }",
"public static double shortestDistance(
            final Triangle2D triangle, final Point2D point) {
        return shortestDistance(triangle.getVertex1(), triangle.getVertex2(),
                triangle.getVertex3(), point);
    }","@Test(timeout = 4000)
  public void test28()  throws Throwable  {
      InhomogeneousPoint2D inhomogeneousPoint2D0 = new InhomogeneousPoint2D();
      Triangle2D triangle2D0 = new Triangle2D(inhomogeneousPoint2D0, inhomogeneousPoint2D0, inhomogeneousPoint2D0);
      // Undeclared exception!
      try { 
        triangle2D0.getClosestPoint((Point2D) inhomogeneousPoint2D0);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // com/irurueta/geometry/Line2D
         //
         verifyException(""com.irurueta.geometry.Triangle2D"", e);
      }
  }","Computes the shortest distance from a given point to the boundaries of provided triangle, considering its boundaries as lines with a finite length. Distance is computed up to triangle boundary, no matter if point lies inside the triangle or not.@param triangle A triangle. @param point Point to be checked. @return Shortest distance to this triangle."
"public static String getFileContentAsString(File f) {

		if (f == null || !f.exists()) {
			return null;
		}
		StringWriter sw = new StringWriter();

		BufferedReader br = null;
		PrintWriter pw = null;
		try {
			FileInputStream fis = new FileInputStream(f);
			InputStreamReader ir = new InputStreamReader(fis, ""UTF-8"");
			br = new BufferedReader(ir);

			pw = new PrintWriter(sw);
			String s = null;
			while ((s = br.readLine()) != null) {
				pw.println(s);
			}
			pw.flush();
			// char[] buffer = new char[RouterServlet.BUFFER_SIZE];
			// int readLength = fr.read(buffer);
			// while (readLength != -1) {
			// w.write(buffer, 0, readLength);
			// readLength = fr.read(buffer);
			// }
		} catch (Exception e) {
			logger.error(e.getMessage());
			return null;
		} finally {

			try {
				br.close();
				pw.close();
			} catch (IOException e) {
				logger.error(e.getMessage());
			}

		}
		return sw.toString();
	}","@Test(timeout = 4000)
  public void test17()  throws Throwable  {
      MockFile mockFile0 = new MockFile(""%20"");
      // Undeclared exception!
      try { 
        FileUtil.getFileContentAsString(mockFile0);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.britesnow.snow.util.FileUtil"", e);
      }
  }",Get the content of a file as a string. Return null if an exception occurs @return The content of the file as string. Null if the file is null or does not exist. Null if exception occurs.
